data_publicacao,diario,secao,subsecao1,subsecao2,subsecao3,subsecao4,subsecao5,nome_materia,materia
19/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",ASSESSORIA DE COMUNICAÇÃO SOCIAL DO ESTADO (ASSECOM),DEPARTAMENTO ESTADUAL DE IMPRENSA (DEI),DEI ASSEJUR,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
19/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",CONSELHO DE DESENVOLVIMENTO DO ESTADO (CDE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
19/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",CONSULTORIA GERAL DO ESTADO (CGE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
19/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",CONTROLADORIA GERAL DO ESTADO (CONTROL),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
19/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",DEFENSORIA PÚBLICA DO ESTADO (DPE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
19/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",GABINETE CIVIL DO GOVERNADOR DO ESTADO,,,,GAC - Extrato Jurídico.doc,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191019&id_doc=662817
19/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",GABINETE CIVIL DO GOVERNADOR DO ESTADO,CONSELHO ESTADUAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
19/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",GABINETE DO VICE-GOVERNADOR,,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
19/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",PROCURADORIA GERAL DO ESTADO (PGE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
19/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",SECRETARIA DA INFRA-ESTRUTURA,,,,"EXTRATO DO PRIMEIRO TERMO ADITIVO AO CONTRATO N° 030/2018 - SIN PRIMEIRO TERMO ADITIVO AO CONTRATO 030/2018 – SIN, QUE ENTRE SI CELEBRAM O ESTADO DO RIO GRANDE DO NORTE, POR INTERMÉDIO DA SECRETARIA DE ESTADO DA INFRAESTRUTURA – SIN E O CONSÓRCIO OISEARHRNPP 05/2017, NA FORMA ABAIXO. Processo Administrativo n° 02210100.000038/2018-13. DO OBJETO: O presente termo aditivo tem por objeto a prorrogação dos prazos de vigência do contrato e execução dos serviços, por mais 12 (doze) meses, contados do dia 11 de setembro de 2019 até o dia 11 de setembro de 2020. Parágrafo único. Os recursos destinados à realização da despesa, referente ao termo aditivo de prazo, encontram-se alocados na seguinte disponibilidade orçamentária: Unidade Orçamentária: 25101.26.122.0100.264801 – Manutenção e Funcionamento; Fonte: 0.100; Elemento de Despesa: 339039 – Outros Serviços de Terceiros – Pessoa Jurídica - Valor de R$ 7.455,48 (sete mil, quatrocentos e cinquenta e cinco reais e quarenta e oito centavos), para os meses de setembro a dezembro de 2019 e R$ 14.910,97 (quatorze mil, novecentos e dez reais e noventa e sete centavos) para o período de janeiro a setembro de 2020, totalizando R$ 22.366,45 (vinte e dois mil, trezentos e sessenta e seis reais e quarenta e cinco centavos). DA RATIFICAÇÃO: Ficam mantidas e ratificadas as demais cláusulas e condições até então pactuadas que não conflitarem com o presente instrumento complementar. Natal/RN, 11 de setembro de 2019. GUSTAVO FERNANDES ROSADO COÊLHO Secretário de Estado da Infraestrutura – SIN/RN CONTRATANTE EVERTON CAMARA CANTO Procurador Executivo de Vendas Telemar Norte Leste S/A CARLOS MÁRCIO SOARES NONATO Procurador Eng. Comercial Telemar Norte Leste S/A",http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191019&id_doc=662778
19/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",SECRETARIA DA INFRA-ESTRUTURA,,,,AVISO DE LICITAÇÃO - TOMADA DE PREÇOS N° 015_2019 – SIN.doc,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191019&id_doc=662842
